INFO:root:all data: 949
INFO:root:train data: 759
INFO:root:test data: 190
INFO:root:Train epoch 0, loss: 0.6784, val_loss: 0.6444, val_acc: 0.6895, val_auroc: 0.6078
INFO:root:Train epoch 1, loss: 0.6105, val_loss: 0.6449, val_acc: 0.6895, val_auroc: 0.6471
INFO:root:Train epoch 2, loss: 0.6055, val_loss: 0.6230, val_acc: 0.6895, val_auroc: 0.6514
INFO:root:Train epoch 3, loss: 0.5902, val_loss: 0.6132, val_acc: 0.6895, val_auroc: 0.6498
INFO:root:Train epoch 4, loss: 0.5911, val_loss: 0.6090, val_acc: 0.6895, val_auroc: 0.6442
INFO:root:Train epoch 5, loss: 0.5828, val_loss: 0.6110, val_acc: 0.6895, val_auroc: 0.6395
INFO:root:Train epoch 6, loss: 0.5764, val_loss: 0.6055, val_acc: 0.6895, val_auroc: 0.6468
INFO:root:Train epoch 7, loss: 0.5663, val_loss: 0.5886, val_acc: 0.6895, val_auroc: 0.6441
INFO:root:Train epoch 8, loss: 0.5622, val_loss: 0.5857, val_acc: 0.6895, val_auroc: 0.6482
INFO:root:Train epoch 9, loss: 0.5558, val_loss: 0.5902, val_acc: 0.6895, val_auroc: 0.6475
INFO:root:Train epoch 10, loss: 0.5548, val_loss: 0.5777, val_acc: 0.6895, val_auroc: 0.6454
INFO:root:Train epoch 11, loss: 0.5504, val_loss: 0.5764, val_acc: 0.6895, val_auroc: 0.6493
INFO:root:Train epoch 12, loss: 0.5483, val_loss: 0.5812, val_acc: 0.6895, val_auroc: 0.6594
INFO:root:Train epoch 13, loss: 0.5553, val_loss: 0.5773, val_acc: 0.6737, val_auroc: 0.6593
INFO:root:Train epoch 14, loss: 0.5405, val_loss: 0.5779, val_acc: 0.6684, val_auroc: 0.6639
INFO:root:Train epoch 15, loss: 0.5481, val_loss: 0.5720, val_acc: 0.6895, val_auroc: 0.6730
INFO:root:Train epoch 16, loss: 0.5443, val_loss: 0.5740, val_acc: 0.6895, val_auroc: 0.6812
INFO:root:Train epoch 17, loss: 0.5398, val_loss: 0.5628, val_acc: 0.6684, val_auroc: 0.6804
INFO:root:Train epoch 18, loss: 0.5381, val_loss: 0.5633, val_acc: 0.7053, val_auroc: 0.6756
INFO:root:Train epoch 19, loss: 0.5340, val_loss: 0.5659, val_acc: 0.6579, val_auroc: 0.6912
INFO:root:Train epoch 20, loss: 0.5349, val_loss: 0.5569, val_acc: 0.6947, val_auroc: 0.6995
INFO:root:Train epoch 21, loss: 0.5307, val_loss: 0.5545, val_acc: 0.6947, val_auroc: 0.7011
INFO:root:Train epoch 22, loss: 0.5313, val_loss: 0.5524, val_acc: 0.7158, val_auroc: 0.7076
INFO:root:Train epoch 23, loss: 0.5280, val_loss: 0.5529, val_acc: 0.7105, val_auroc: 0.7008
